Month,Discount Band,Discount
January,none,0
January,low,6
January,medium,10
January,high,5
February,none,0
February,low,6
February,medium,11
February,high,5
March,none,0
March,low,6
March,medium,4
March,high,15
April,none,0
April,low,3
April,medium,8
April,high,15
May,none,0
May,low,7
May,medium,11
May,high,9
June,none,0
June,low,6
June,medium,4
June,high,7
July,none,0
July,low,8
July,medium,9
July,high,20
August,none,0
August,low,8
August,medium,8
August,high,17
September,none,0
September,low,5
September,medium,7
September,high,12
October,none,0
October,low,9
October,medium,14
October,high,20
November,none,0
November,low,15
November,medium,19
November,high,24
December,none,0
December,low,14
December,medium,18
December,high,20
