Date,Customer Type,Country,Product, Discount Band ,Units Sold
1/12/2023,Government,Germany,SR1001, None ,15
1/12/2023,Education,United States of America,RR10020, None ,6
1/12/2023,Government,Canada,FR10021, None ,18
1/12/2023,Government,Germany,FR10021, None ,15
1/12/2023,Government,Canada,HY1004, None ,18
1/12/2023,Education,United States of America,, None ,6
1/12/2023,Government,France,SR1001, Low ,22
1/12/2023,Government,France,FR10021, Low ,22
1/12/2023,Government,Canada,SR1001, Low ,29
1/12/2023,Small Business,Canada,FR10021, Low ,19
1/12/2023,Government,Canada,FR10021, Low ,29
1/12/2023,Enterprise,Canada,FR10021, Low ,27
1/12/2023,Creator,France,FR10021, Low ,11
1/12/2023,Creator,Mexico,FR10021, Low ,11
1/12/2023,Creator,France,PS10022, Low ,11
1/12/2023,Creator,Mexico,PS10022, Low ,11
1/12/2023,Enterprise,Canada,HY1004, Low ,27
1/12/2023,Small Business,Canada,AR1200, Low ,19
1/12/2023,Enterprise,France,RR10020, Low ,13
1/12/2023,Enterprise,Germany,RR10020, Low ,17
1/12/2023,Enterprise,France,FR10021, Low ,13
1/12/2023,Enterprise,Germany,FR10021, Low ,17
1/12/2023,Government,United States of America,SR1001, Low ,3
1/12/2023,Enterprise,Mexico,RR10020, Low ,11
1/12/2023,Government,United States of America,FR10021, Low ,3
1/12/2023,Enterprise,Mexico,FR10021, Low ,11
1/12/2023,Creator,Canada,FR10021, Medium ,24
1/12/2023,Creator,Canada,PS10022, Medium ,24
1/12/2023,Government,United States of America,SR1001, Medium ,6
1/12/2023,Government,France,SR1001, Medium ,25
1/12/2023,Government,United States of America,FR10021, Medium ,27
1/12/2023,Small Business,Germany,PS10022, Medium ,13
1/12/2023,Government,United States of America,HY1004, Medium ,27
1/12/2023,Government,United States of America,HY1004, Medium ,6
1/12/2023,Government,France,HY1004, Medium ,25
1/12/2023,Small Business,Germany,AR1200, Medium ,13
1/12/2023,Government,Canada,PS10022, Medium ,16
1/12/2023,Government,Canada,HY1004, Medium ,16
1/12/2023,Small Business,United States of America,PS10022, Medium ,14
1/12/2023,Small Business,United States of America,AR1200, Medium ,14
1/12/2023,Government,Mexico,SR1001, Medium ,14
1/12/2023,Education,Germany,RR10020, Medium ,7
1/12/2023,Government,Mexico,FR10021, Medium ,14
1/12/2023,Small Business,Mexico,PS10022, Medium ,6
1/12/2023,Education,Germany,AR1200, Medium ,7
1/12/2023,Small Business,Mexico,AR1200, Medium ,6
1/12/2023,Enterprise,United States of America,RR10020, Medium ,28
1/12/2023,Enterprise,United States of America,FR10021, Medium ,28
1/12/2023,Government,Mexico,SR1001, Medium ,5
1/12/2023,Government,Mexico,HY1004, Medium ,5
1/12/2023,Education,France,RR10020, High ,21
1/12/2023,Small Business,France,PS10022, High ,9
1/12/2023,Education,France,AR1200, High ,21
1/12/2023,Small Business,France,AR1200, High ,9
1/12/2023,Education,Mexico,RR10020, High ,22
1/12/2023,Education,Mexico,AR1200, High ,22
1/12/2023,Government,Mexico,FR10021, High ,12
1/12/2023,Government,Mexico,HY1004, High ,12
1/12/2023,Government,Germany,FR10021, High ,15
1/12/2023,Government,Germany,HY1004, High ,15
1/12/2023,Creator,Germany,FR10021, High ,10
1/12/2023,Creator,Germany,PS10022, High ,10
1/12/2023,Government,Germany,SR1001, High ,3
1/12/2023,Government,Germany,HY1004, High ,3
1/12/2023,Education,Canada,SR1001, High ,23
1/12/2023,Education,Canada,RR10020, High ,23
1/12/2023,Creator,United States of America,FR10021, High ,9
1/12/2023,Government,France,FR10021, High ,3
1/12/2023,Creator,United States of America,PS10022, High ,9
1/12/2023,Government,France,HY1004, High ,3
1/11/2023,Government,France,PS10022, Low ,6
1/11/2023,Small Business,United States of America,FR10021, Low ,29
1/11/2023,Enterprise,France,HY1004, Low ,17
1/11/2023,Creator,Mexico,RR10020, Low ,7
1/11/2023,Government,United States of America,AR1200, Low ,12
1/11/2023,Government,France,AR1200, Low ,9
1/11/2023,Education,Mexico,SR1001, Medium ,28
1/11/2023,Creator,Germany,RR10020, Medium ,23
1/11/2023,Education,United States of America,SR1001, Medium ,20
1/11/2023,Creator,United States of America,RR10020, Medium ,27
1/11/2023,Government,Mexico,PS10022, Medium ,13
1/11/2023,Creator,France,RR10020, Medium ,23
1/11/2023,Government,United States of America,PS10022, Medium ,6
1/11/2023,Government,Canada,AR1200, Medium ,11
1/11/2023,Education,France,SR1001, Medium ,5
1/11/2023,Government,Germany,AR1200, Medium ,15
1/11/2023,Creator,Canada,RR10020, Medium ,23
1/11/2023,Small Business,France,FR10021, Medium ,13
1/11/2023,Enterprise,Mexico,HY1004, Medium ,9
1/11/2023,Government,Mexico,AR1200, Medium ,17
1/11/2023,Government,Germany,PS10022, High ,27
1/11/2023,Enterprise,Canada,HY1004, High ,25
1/11/2023,Small Business,Canada,FR10021, High ,14
1/11/2023,Government,Canada,PS10022, High ,18
1/11/2023,Education,Canada,SR1001, High ,27
1/11/2023,Government,France,FR10021, High ,16
1/11/2023,Small Business,Germany,FR10021, High ,14
1/11/2023,Small Business,Mexico,FR10021, High ,22
1/11/2023,Government,Mexico,FR10021, High ,12
1/11/2023,Enterprise,United States of America,HY1004, High ,24
1/11/2023,Government,Germany,FR10021, High ,4
1/11/2023,Education,Germany,SR1001, High ,15
1/11/2023,Government,Canada,FR10021, High ,7
1/11/2023,Government,United States of America,FR10021, High ,12
1/11/2023,Enterprise,Germany,HY1004, High ,6
1/10/2023,Government,United States of America,FR10021, None ,11
1/10/2023,Government,United States of America,AR1200, None ,11
1/10/2023,Government,Mexico,SR1001, Low ,14
1/10/2023,Government,Mexico,HY1004, Low ,14
1/10/2023,Creator,Canada,SR1001, Low ,13
1/10/2023,Government,United States of America,RR10020, Low ,16
1/10/2023,Creator,Canada,FR10021, Low ,13
1/10/2023,Government,United States of America,PS10022, Low ,16
1/10/2023,Government,Germany,PS10022, Low ,29
1/10/2023,Government,Germany,HY1004, Low ,29
1/10/2023,Enterprise,Canada,FR10021, Low ,20
1/10/2023,Enterprise,Canada,PS10022, Low ,20
1/10/2023,Education,Mexico,RR10020, Low ,20
1/10/2023,Education,Mexico,FR10021, Low ,20
1/10/2023,Small Business,Germany,SR1001, Low ,20
1/10/2023,Small Business,Germany,RR10020, Low ,20
1/10/2023,Government,France,PS10022, Low ,22
1/10/2023,Government,France,HY1004, Low ,22
1/10/2023,Government,Mexico,FR10021, Medium ,27
1/10/2023,Government,Mexico,HY1004, Medium ,27
1/10/2023,Enterprise,United States of America,FR10021, Medium ,9
1/10/2023,Enterprise,United States of America,PS10022, Medium ,9
1/10/2023,Education,United States of America,FR10021, Medium ,12
1/10/2023,Education,United States of America,HY1004, Medium ,12
1/10/2023,Small Business,France,SR1001, Medium ,22
1/10/2023,Government,France,RR10020, Medium ,20
1/10/2023,Small Business,France,RR10020, Medium ,22
1/10/2023,Government,France,PS10022, Medium ,20
1/10/2023,Education,France,FR10021, Medium ,12
1/10/2023,Government,Canada,PS10022, Medium ,13
1/10/2023,Education,France,HY1004, Medium ,12
1/10/2023,Government,Canada,AR1200, Medium ,13
1/10/2023,Government,Germany,FR10021, Medium ,4
1/10/2023,Government,Germany,HY1004, Medium ,4
1/10/2023,Government,Germany,FR10021, High ,2
1/10/2023,Government,Germany,PS10022, High ,2
1/10/2023,Creator,Germany,PS10022, High ,5
1/10/2023,Creator,Germany,AR1200, High ,5
1/10/2023,Enterprise,France,SR1001, High ,24
1/10/2023,Enterprise,France,FR10021, High ,24
1/10/2023,Enterprise,Mexico,SR1001, High ,22
1/10/2023,Government,Canada,RR10020, High ,27
1/10/2023,Enterprise,Mexico,FR10021, High ,22
1/10/2023,Government,Mexico,FR10021, High ,9
1/10/2023,Government,United States of America,PS10022, High ,10
1/10/2023,Government,Mexico,PS10022, High ,9
1/10/2023,Government,United States of America,HY1004, High ,10
1/10/2023,Government,Canada,AR1200, High ,27
1/10/2023,Government,Canada,RR10020, High ,13
1/10/2023,Education,Canada,FR10021, High ,16
1/10/2023,Government,Canada,FR10021, High ,13
1/10/2023,Creator,Mexico,PS10022, High ,4
1/10/2023,Education,Canada,HY1004, High ,16
1/10/2023,Creator,Mexico,AR1200, High ,4
1/10/2023,Creator,France,FR10021, High ,14
1/10/2023,Creator,France,AR1200, High ,14
1/10/2023,Small Business,Canada,SR1001, High ,15
1/10/2023,Small Business,United States of America,SR1001, High ,10
1/10/2023,Creator,United States of America,FR10021, High ,29
1/10/2023,Government,France,FR10021, High ,17
1/10/2023,Small Business,Canada,HY1004, High ,15
1/10/2023,Small Business,United States of America,HY1004, High ,10
1/10/2023,Creator,United States of America,AR1200, High ,29
1/10/2023,Government,France,AR1200, High ,17
1/10/2023,Enterprise,Germany,SR1001, High ,11
1/10/2023,Small Business,Mexico,RR10020, High ,6
1/10/2023,Enterprise,Germany,FR10021, High ,11
1/10/2023,Education,Germany,FR10021, High ,12
1/10/2023,Education,Germany,HY1004, High ,12
